Model,ImageNet,VTAB,Retrieval,Average,Ideal,Final_Contrastive_Loss,Real
breaking_0.1_trained,0.006,0.116,0.061,0.093,1280001,1.61294,1032435
breaking_0.2_trained,0.018,0.133,0.085,0.122,2560001,4.69029,2072721
breaking_0.3_trained,0.023,0.146,0.103,0.132,3840001,5.66429,3112467
breaking_0.5_trained,0.027,0.154,0.11,0.14,6400001,5.95366,5188897
breaking_0.7_trained,0.029,0.152,0.118,0.142,8960001,6.37756,7266876
breaking_0.9_trained,0.026,0.156,0.112,0.143,11520001,6.33065,9352279
baseline_1.0_trained,0.026,0.148,0.112,0.137,12400000,6.32952,10386623
minipile_style_trained_img_txt,0.021,0.12,0.077,0.114,1633210,2.24558,1290236
minipile_style_trained_txt,0.01,0.134,0.067,0.111,933381,0.4962,739116
txt_top5_all_quality_clusters,0.022,0.132,0.102,0.126,3660046,5.12234,2864016
txt_top5_english_quality_clusters,0.015,0.145,0.081,0.121,1712451,2.44784,1316522
